candidate_id,rank,score,career_velocity_bonus,expected_roi,reasoning
CAND_0011687,13,129.244,0.0,High ROI (Bargain),"Outstanding candidate with 7.8 YOE, currently in a relevant domain role as Senior NLP Engineer at Niramai. Demonstrates deep expertise in core technologies like PyTorch, PEFT, Weaviate. Strong track record at product engineering firms. Strong availability with immediate 15-day notice. Currently based in Indore."
CAND_0033179,14,129.235,0.0,High ROI (Bargain),"Outstanding candidate with 6.9 YOE, currently in a relevant domain role as AI Research Engineer at Wipro. Demonstrates deep expertise in core technologies like scikit-learn, PyTorch, Docker. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Ahmedabad."
CAND_0041610,15,128.741,0.0,Standard,"Outstanding candidate with 6.7 YOE, currently in a relevant domain role as Recommendation Systems Engineer at Zoho. Demonstrates deep expertise in core technologies like scikit-learn, PyTorch, Learning to Rank. Strong track record at product engineering firms. Strong availability with immediate 30-day notice. Currently based in Indore."
CAND_0072688,16,128.622,0.0,Standard,"Solid Data Scientist with 6.9 YOE, currently at Niramai matching the senior engineering profile. Has hands-on experience utilizing Qdrant, LoRA, Milvus. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Pune."
CAND_0039754,17,127.137,0.0,High ROI (Bargain),"Solid Senior Applied Scientist with 16.2 YOE, currently at Meta matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, Weaviate, Elasticsearch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Indore."
CAND_0026942,18,126.418,0.0,High ROI (Bargain),"Solid Junior ML Engineer with 6.0 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, TensorFlow, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Chandigarh."
CAND_0053605,19,126.414,2.5,Standard,"Solid Senior Software Engineer (ML) with 6.9 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing RAG. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0079387,20,125.737,0.0,Standard,"Solid AI Engineer with 6.9 YOE, currently at Microsoft matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, QLoRA, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Trivandrum."
CAND_0086154,21,124.405,2.5,High ROI (Bargain),"Solid Data Scientist with 6.8 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, OpenSearch, Qdrant. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Ahmedabad."
CAND_0044855,22,123.672,2.5,Standard,"Solid Senior Data Scientist with 6.6 YOE, currently at Flipkart matching the senior engineering profile. Has hands-on experience utilizing QLoRA, Learning to Rank, Embeddings. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Coimbatore."
CAND_0068811,23,123.584,0.0,High ROI (Bargain),"Solid Applied ML Engineer with 8.0 YOE, currently at Freshworks matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, PEFT, Weaviate. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Pune."
CAND_0080766,24,123.350,2.5,Standard,"Solid Staff Machine Learning Engineer with 8.8 YOE, currently at Salesforce matching the senior engineering profile. Has hands-on experience utilizing QLoRA, LoRA, Elasticsearch. Product-focused experience aligns well. Logistics: immediate 0-day notice. Currently based in Coimbatore."
CAND_0037566,25,120.624,0.0,Standard,"Solid Machine Learning Engineer with 6.9 YOE, currently at LinkedIn matching the senior engineering profile. Has hands-on experience utilizing QLoRA, LoRA, Elasticsearch. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Bangalore."
CAND_0046525,26,120.178,0.0,Standard,"Solid Senior Machine Learning Engineer with 6.1 YOE, currently at Genpact AI matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, TensorFlow, Qdrant. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Pune."
CAND_0043637,27,119.796,0.0,Standard,"Solid Junior ML Engineer with 5.5 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing PyTorch, Milvus, Learning to Rank. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Delhi."
CAND_0027691,28,119.770,0.0,Standard,"Solid NLP Engineer with 6.5 YOE, currently at Haptik matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, PEFT, QLoRA. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Pune."
CAND_0076251,29,119.669,2.5,High ROI (Bargain),"Solid Search Engineer with 7.6 YOE, currently at Haptik matching the senior engineering profile. Has hands-on experience utilizing PEFT, Weaviate, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Bhubaneswar."
CAND_0011327,30,119.141,2.5,High ROI (Bargain),"Solid AI Research Engineer with 6.3 YOE, currently at Krutrim matching the senior engineering profile. Has hands-on experience utilizing OpenSearch. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Gurgaon."
CAND_0048558,31,119.132,0.0,Standard,"Solid Data Scientist with 6.7 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, OpenSearch, Qdrant. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0050454,32,118.550,0.0,Standard,"Solid AI Engineer with 6.8 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, PyTorch, QLoRA. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Delhi."
CAND_0062247,33,118.550,0.0,Standard,"Solid AI Engineer with 7.3 YOE, currently at Google matching the senior engineering profile. Has hands-on experience utilizing RAG, PEFT, Learning to Rank. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Kochi."
CAND_0096104,34,118.235,2.5,Standard,"Solid AI Specialist with 7.0 YOE, currently at Yellow.ai matching the senior engineering profile. Has hands-on experience utilizing Pinecone, PEFT. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Delhi."
CAND_0083879,35,118.035,0.0,Standard,"Solid Machine Learning Engineer with 7.1 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, Fine-tuning LLMs, Milvus. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0086022,36,114.238,0.0,Standard,"Solid Senior Applied Scientist with 5.3 YOE, currently at Sarvam AI matching the senior engineering profile. Has hands-on experience utilizing PyTorch, QLoRA, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: immediate 0-day notice. Currently based in Kolkata."
CAND_0079064,37,113.459,2.5,Standard,"Solid Senior Data Scientist with 5.2 YOE, currently at Niramai matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, Pinecone, OpenSearch. Product-focused experience aligns well. Logistics: 120-day notice period. Currently based in Noida."
CAND_0007009,38,113.350,0.0,High ROI (Bargain),"Solid Recommendation Systems Engineer with 7.9 YOE, currently at Wysa matching the senior engineering profile. Has hands-on experience utilizing PEFT, QLoRA, Weaviate. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0036437,39,113.051,0.0,Standard,"Solid Search Engineer with 4.8 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing Weaviate, Elasticsearch, OpenSearch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Kolkata."
CAND_0017960,40,112.822,0.0,Standard,"Solid Recommendation Systems Engineer with 7.7 YOE, currently at Nykaa matching the senior engineering profile. Has hands-on experience utilizing PEFT, Qdrant, QLoRA. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Bangalore."
CAND_0007596,41,112.792,0.0,Standard,"Solid Junior ML Engineer with 4.4 YOE, currently at Flipkart matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, Weaviate, LoRA. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Delhi."
CAND_0073883,42,112.784,2.5,Standard,"Solid AI Specialist with 5.3 YOE, currently at Krutrim matching the senior engineering profile. Has hands-on experience utilizing PEFT, OpenSearch, FAISS. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Chandigarh."
CAND_0018888,43,111.845,0.0,Standard,"Solid AI Research Engineer with 6.5 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing FAISS. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0005649,44,111.556,2.5,Standard,"Solid Senior Data Scientist with 7.4 YOE, currently at Sarvam AI matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, RAG, QLoRA. Product-focused experience aligns well. Logistics: 90-day notice period. Currently based in Delhi."
CAND_0098846,45,111.464,0.0,Standard,"Solid AI Engineer with 7.6 YOE, currently at upGrad matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, PEFT, Qdrant. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Indore."
CAND_0067866,46,111.199,2.5,Standard,"Solid Senior Software Engineer (ML) with 6.4 YOE, currently at Tech Mahindra matching the senior engineering profile. Has hands-on experience utilizing PEFT, LoRA, Elasticsearch. Product-focused experience aligns well. Logistics: 45-day notice period. Currently based in Noida."
CAND_0066999,47,110.413,0.0,Low ROI (Premium),"Solid Recommendation Systems Engineer with 5.9 YOE, currently at Microsoft matching the senior engineering profile. Has hands-on experience utilizing OpenSearch, Pinecone, Embeddings. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Delhi."
CAND_0005509,48,110.094,0.0,Standard,"Solid Data Scientist with 6.0 YOE, currently at Ola matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, Qdrant. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0064888,49,109.940,0.0,Standard,"Solid ML Engineer with 5.8 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing Fine-tuning LLMs, Learning to Rank, Elasticsearch. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Vizag."
CAND_0057563,50,109.510,0.0,Standard,"Solid NLP Engineer with 6.8 YOE, currently at Locobuzz matching the senior engineering profile. Has hands-on experience utilizing Elasticsearch, RAG, OpenSearch. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Indore."
CAND_0045250,51,109.187,0.0,Standard,"Solid Applied ML Engineer with 6.6 YOE, currently at Rephrase.ai matching the senior engineering profile. Has hands-on experience utilizing PEFT, LoRA, Embeddings. Product-focused experience aligns well. Logistics: immediate 15-day notice. Currently based in Delhi."
CAND_0097176,52,109.038,2.5,Standard,"Solid ML Engineer with 5.9 YOE, currently at TCS matching the senior engineering profile. Has hands-on experience utilizing PyTorch, FAISS. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Gurgaon."
CAND_0015967,53,107.542,2.5,Standard,"Solid Senior Software Engineer (ML) with 5.4 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing TensorFlow, Pinecone, Embeddings. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Hyderabad."
CAND_0093912,54,106.981,2.5,Standard,"Solid Senior Data Scientist with 5.3 YOE, currently at Razorpay matching the senior engineering profile. Has hands-on experience utilizing Learning to Rank, Elasticsearch, Embeddings. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Chandigarh."
CAND_0052328,55,106.149,0.0,High ROI (Bargain),"Solid Recommendation Systems Engineer with 6.5 YOE, currently at Amazon matching the senior engineering profile. Has hands-on experience utilizing scikit-learn, QLoRA, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Pune."
CAND_0005260,56,105.771,0.0,Low ROI (Premium),"Solid Senior NLP Engineer with 5.2 YOE, currently at Netflix matching the senior engineering profile. Has hands-on experience utilizing RAG, Embeddings, LoRA. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Chennai."
CAND_0046132,57,105.538,0.0,Low ROI (Premium),"Solid AI Research Engineer with 4.3 YOE, currently at Verloop.io matching the senior engineering profile. Has hands-on experience utilizing PyTorch, Fine-tuning LLMs. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0005311,58,104.571,0.0,Standard,"Solid AI Research Engineer with 5.7 YOE, currently at Aganitha matching the senior engineering profile. Has hands-on experience utilizing QLoRA, Fine-tuning LLMs, LoRA. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Mumbai."
CAND_0061257,59,104.197,2.5,Standard,"Solid Staff Machine Learning Engineer with 8.0 YOE, currently at LinkedIn matching the senior engineering profile. Has hands-on experience utilizing PEFT. Product-focused experience aligns well. Logistics: immediate 30-day notice. Currently based in Noida."
CAND_0073314,60,103.952,2.5,Low ROI (Premium),"Solid Senior Software Engineer (ML) with 5.2 YOE, currently at Aganitha matching the senior engineering profile. Has hands-on experience utilizing PyTorch, PEFT, Weaviate. Product-focused experience aligns well. Logistics: 60-day notice period. Currently based in Noida."
CAND_0069905,61,103.821,0.0,High ROI (Bargain),"Competent developer as Applied ML Engineer with 6.6 YOE. Demonstrates familiarity with Weaviate, TensorFlow, Learning to Rank. Minor concerns: notice period of 90 days."
CAND_0010149,62,103.789,0.0,Standard,"Competent developer as ML Engineer with 6.9 YOE. Demonstrates familiarity with PEFT, QLoRA, Learning to Rank. Minor concerns: notice period of 90 days, career background has consulting tenure."
CAND_0017178,63,103.690,0.0,Standard,"Competent developer as ML Engineer with 4.2 YOE. Demonstrates familiarity with PEFT, QLoRA. Minor concerns: experience (4.2 yrs) is outside the sweet spot."
CAND_0046064,64,103.479,2.5,Standard,"Competent developer as Senior NLP Engineer with 8.9 YOE. Demonstrates familiarity with PEFT, QLoRA, Elasticsearch."
CAND_0090155,65,103.187,0.0,Standard,"Competent developer as ML Engineer with 5.8 YOE. Demonstrates familiarity with PEFT, QLoRA, Pinecone. Minor concerns: notice period of 90 days."
CAND_0082086,66,103.020,2.5,Standard,"Competent developer as Senior Software Engineer (ML) with 6.0 YOE. Demonstrates familiarity with PyTorch, QLoRA, Pinecone."
CAND_0060054,67,102.753,0.0,Standard,"Competent developer as AI Engineer with 6.4 YOE. Demonstrates familiarity with Elasticsearch, Weaviate, TensorFlow."
CAND_0051004,68,102.242,2.5,Low ROI (Premium),"Competent developer as Senior Data Scientist with 4.7 YOE. Demonstrates familiarity with PyTorch, PEFT, Docker. Minor concerns: experience (4.7 yrs) is outside the sweet spot."
CAND_0042506,69,102.143,0.0,Low ROI (Premium),"Competent developer as Search Engineer with 4.2 YOE. Demonstrates familiarity with scikit-learn, PEFT, Fine-tuning LLMs. Minor concerns: experience (4.2 yrs) is outside the sweet spot."
CAND_0091580,70,101.752,0.0,Standard,"Competent developer as Data Scientist with 5.5 YOE. Demonstrates familiarity with Qdrant, FAISS, QLoRA."
CAND_0042029,71,100.654,2.5,Low ROI (Premium),"Competent developer as Senior Data Scientist with 6.5 YOE. Demonstrates familiarity with PyTorch, RAG, Weaviate."
CAND_0006567,72,100.279,0.0,Standard,"Competent developer as Senior AI Engineer with 7.9 YOE. Demonstrates familiarity with scikit-learn, Kubernetes."
CAND_0083852,73,99.361,0.0,Standard,"Competent developer as Data Scientist with 6.0 YOE. Demonstrates familiarity with PyTorch, Pinecone, Qdrant. Minor concerns: notice period of 90 days."
CAND_0006538,74,98.742,0.0,Standard,"Competent developer as AI Specialist with 5.7 YOE. Demonstrates familiarity with scikit-learn, PEFT, Learning to Rank. Minor concerns: career background has consulting tenure."
CAND_0091745,75,98.414,0.0,Standard,"Competent developer as Junior ML Engineer with 5.9 YOE. Demonstrates familiarity with PyTorch, Embeddings, Fine-tuning LLMs."
CAND_0024147,76,98.392,0.0,High ROI (Bargain),"Competent developer as ML Engineer with 5.9 YOE. Demonstrates familiarity with OpenSearch, Qdrant, Learning to Rank."
CAND_0028793,77,98.374,2.5,Standard,"Competent developer as Search Engineer with 7.2 YOE. Demonstrates familiarity with PyTorch, PEFT, QLoRA. Minor concerns: notice period of 120 days."
CAND_0026716,78,97.547,0.0,High ROI (Bargain),"Competent developer as Computer Vision Engineer with 5.6 YOE. Demonstrates familiarity with Weaviate, Fine-tuning LLMs, Pinecone."
CAND_0019288,79,97.043,0.0,Standard,"Competent developer as AI Research Engineer with 5.7 YOE. Demonstrates familiarity with OpenSearch, TensorFlow, FAISS."
CAND_0015057,80,96.870,2.5,Standard,"Competent developer as ML Engineer with 4.6 YOE. Demonstrates familiarity with PEFT, Embeddings, Qdrant. Minor concerns: experience (4.6 yrs) is outside the sweet spot, notice period of 90 days."
CAND_0073007,81,96.672,2.5,High ROI (Bargain),"Competent developer as AI Specialist with 5.8 YOE. Demonstrates familiarity with PyTorch, Embeddings, FAISS."
CAND_0039983,82,96.313,2.5,High ROI (Bargain),"Competent developer as Computer Vision Engineer with 6.6 YOE. Demonstrates familiarity with scikit-learn, Fine-tuning LLMs. Minor concerns: career background has consulting tenure."
CAND_0069718,83,96.268,2.5,High ROI (Bargain),"Competent developer as ML Engineer with 5.7 YOE. Demonstrates familiarity with Elasticsearch, OpenSearch, PEFT."
CAND_0067717,84,96.168,0.0,High ROI (Bargain),"Competent developer as AI Specialist with 6.9 YOE. Demonstrates familiarity with PyTorch, PEFT, FAISS."
CAND_0043384,85,96.006,0.0,Standard,"Competent developer as Computer Vision Engineer with 5.2 YOE. Demonstrates familiarity with PyTorch, QLoRA."
CAND_0020877,86,95.393,0.0,Standard,"Competent developer as Applied ML Engineer with 5.1 YOE. Demonstrates familiarity with scikit-learn, PyTorch, PEFT."
CAND_0064256,87,94.550,0.0,Standard,"Competent developer as Junior ML Engineer with 6.4 YOE. Demonstrates familiarity with PyTorch, Embeddings."
CAND_0061655,88,94.438,0.0,Standard,"Competent developer as Machine Learning Engineer with 4.6 YOE. Demonstrates familiarity with PyTorch, PEFT, Elasticsearch. Minor concerns: experience (4.6 yrs) is outside the sweet spot."
CAND_0074098,89,94.186,2.5,Standard,"Competent developer as Data Scientist with 4.9 YOE. Demonstrates familiarity with Fine-tuning LLMs, TensorFlow, LoRA. Minor concerns: experience (4.9 yrs) is outside the sweet spot."
CAND_0066690,90,94.153,0.0,Standard,"Competent developer as ML Engineer with 4.8 YOE. Demonstrates familiarity with Elasticsearch, Pinecone, PEFT. Minor concerns: experience (4.8 yrs) is outside the sweet spot."
CAND_0016163,91,93.571,0.0,Standard,"Competent developer as Applied ML Engineer with 6.7 YOE. Demonstrates familiarity with Weaviate, LoRA, Embeddings. Minor concerns: notice period of 120 days."
CAND_0090093,92,93.295,2.5,Standard,"Competent developer as Data Scientist with 4.4 YOE. Demonstrates familiarity with Docker, QLoRA, LoRA. Minor concerns: experience (4.4 yrs) is outside the sweet spot."
CAND_0030784,93,92.977,2.5,Low ROI (Premium),"Competent developer as Data Scientist with 4.4 YOE. Demonstrates familiarity with RAG, QLoRA, Learning to Rank. Minor concerns: experience (4.4 yrs) is outside the sweet spot, notice period of 90 days."
CAND_0033445,94,92.954,0.0,High ROI (Bargain),"Competent developer as ML Engineer with 6.8 YOE. Minor concerns: lack of direct retrieval/ranking experience."
CAND_0092692,95,92.940,0.0,Standard,"Competent developer as AI Specialist with 3.2 YOE. Demonstrates familiarity with Embeddings, Learning to Rank, Qdrant. Minor concerns: experience (3.2 yrs) is outside the sweet spot."
CAND_0052195,96,92.658,0.0,Standard,"Competent developer as Computer Vision Engineer with 6.3 YOE. Demonstrates familiarity with LoRA."
CAND_0041918,97,92.416,0.0,Standard,"Competent developer as AI Specialist with 5.7 YOE. Demonstrates familiarity with PyTorch. Minor concerns: notice period of 90 days."
CAND_0011162,98,92.372,0.0,Standard,"Competent developer as Recommendation Systems Engineer with 5.8 YOE. Demonstrates familiarity with PEFT, Weaviate, LoRA. Minor concerns: notice period of 90 days."
CAND_0000031,99,92.287,0.0,Standard,"Competent developer as Recommendation Systems Engineer with 6.0 YOE. Demonstrates familiarity with scikit-learn, Pinecone, Embeddings."
CAND_0036184,100,92.277,0.0,Standard,"Competent developer as Recommendation Systems Engineer with 6.0 YOE. Demonstrates familiarity with PyTorch, QLoRA, Embeddings."
